product,title,rev_date,post_date,pdf_url
Publication 5788,IRS Report to Congress: Inflation Reduction Act §10301(1)(B) IRS-run Direct e-File Tax Return System,May 2023,05/18/2023,https://www.irs.gov/pub/irs-pdf/p5788.pdf
Publication 5789,Child and Dependent Care Credit,Apr 2023,05/17/2023,https://www.irs.gov/pub/irs-pdf/p5789.pdf
Publication 5792,Small Businesses & Tax-Exempt Organizations: Beware of Tax Credit Scams!,Apr 2023,05/04/2023,https://www.irs.gov/pub/irs-pdf/p5792.pdf
Publication 5797,Home Energy Tax Credits,Jun 2023,06/08/2023,https://www.irs.gov/pub/irs-pdf/p5797.pdf
Publication 5800,Small Business/Self Employed Partnership Job Aid,Apr 2023,05/05/2023,https://www.irs.gov/pub/irs-pdf/p5800.pdf
Publication 5801,Tools & Resources for Small Businesses,Apr 2025,04/28/2025,https://www.irs.gov/pub/irs-pdf/p5801.pdf
Publication 5801-A,Tips & Resources for Military Spouse Entrepreneurs,Aug 2023,08/02/2023,https://www.irs.gov/pub/irs-pdf/p5801a.pdf
Publication 5802,Divorce & Taxes Checklist,Sep 2024,10/21/2024,https://www.irs.gov/pub/irs-pdf/p5802.pdf
Publication 5803,Management Quarterly Update FY 2025 Q4,Nov 2025,12/12/2025,https://www.irs.gov/pub/irs-pdf/p5803.pdf
Publication 5811,Child Tax Credit (CTC),Dec 2025,01/07/2026,https://www.irs.gov/pub/irs-pdf/p5811.pdf
Publication 5812,Tax-Exempt Organizations Unrelated Business Income Tax,Jun 2023,06/07/2023,https://www.irs.gov/pub/irs-pdf/p5812.pdf
Publication 5814,Alternative Media Center - IRS.gov/Accessibility/Making Accessibility a Reality,Nov 2024,11/29/2024,https://www.irs.gov/pub/irs-pdf/p5814.pdf
Publication 5815,Prohibited Items,Jun 2023,06/08/2023,https://www.irs.gov/pub/irs-pdf/p5815.pdf
Publication 5817,Elective Pay Overview,Apr 2024,05/31/2024,https://www.irs.gov/pub/irs-pdf/p5817.pdf
Publication 5817-A,Elective Pay for Rural Electric Cooperatives,Apr 2024,05/31/2024,https://www.irs.gov/pub/irs-pdf/p5817a.pdf
Publication 5817-B,Elective Pay for U.S. Territorial Governments,Apr 2024,05/31/2024,https://www.irs.gov/pub/irs-pdf/p5817b.pdf
Publication 5817-C,Elective Pay for Alaska Native Corporations,Apr 2024,05/31/2024,https://www.irs.gov/pub/irs-pdf/p5817c.pdf
Publication 5817-D,Elective Pay for Tax-Exempt Organizations,Apr 2024,05/31/2024,https://www.irs.gov/pub/irs-pdf/p5817d.pdf
Publication 5817-E,Elective Pay for State and Local Governments,Apr 2024,05/31/2024,https://www.irs.gov/pub/irs-pdf/p5817e.pdf
Publication 5817-F,Elective Pay for Indian Tribal Governments,Apr 2024,05/31/2024,https://www.irs.gov/pub/irs-pdf/p5817f.pdf
Publication 5817-G,Clean Energy Tax Incentives: Elective Pay-Eligible Tax Credits,Jun 2023,07/10/2023,https://www.irs.gov/pub/irs-pdf/p5817g.pdf
Publication 5818,High-Income Tax Returns,Jun 2023,06/12/2023,https://www.irs.gov/pub/irs-pdf/p5818.pdf
Publication 5819,"Individual Income Tax Return Data, Form 1040, Schedule E, Partnerships and S Corporations Net Income (Less Loss)",Jun 2023,06/12/2023,https://www.irs.gov/pub/irs-pdf/p5819.pdf
Publication 5827,Understanding your IRS Debt and Passport Certification,Jan 2025,01/27/2025,https://www.irs.gov/pub/irs-pdf/p5827.pdf
Publication 5828,Secure Messaging: A new way to connect with the IRS,Feb 2024,06/27/2025,https://www.irs.gov/pub/irs-pdf/p5828.pdf
Publication 5830,Modernized e-File (MeF) IS State and Trading Partners Reference Guide,Dec 2024,12/20/2024,https://www.irs.gov/pub/irs-pdf/p5830.pdf
Publication 5832,Energy Efficient Commercial Buildings Deduction,Aug 2023,09/01/2023,https://www.irs.gov/pub/irs-pdf/p5832.pdf
Publication 5833,Exempt Organizations Technical Guide TG 3-10: Disqualifying and Non-Exempt Activities - Trade or Business Activities   IRC Section 501(c)(3),Feb 2024,02/08/2024,https://www.irs.gov/pub/irs-pdf/p5833.pdf
Publication 5834,Exempt Organizations Technical Guide TG 44: Qualified Tuition Program   IRC Section 529,Feb 2024,02/06/2024,https://www.irs.gov/pub/irs-pdf/p5834.pdf
Publication 5835,Exempt Organizations Technical Guide TG 65: Excise Taxes - Excess Benefit Transactions - IRC Section 4958,Feb 2024,02/06/2024,https://www.irs.gov/pub/irs-pdf/p5835.pdf
Publication 5838,"VITA/TCE Intake/Interview and Quality Review Handbook Stakeholder Partnerships, Education, & Communication (SPEC)",Oct 2025,10/21/2025,https://www.irs.gov/pub/irs-pdf/p5838.pdf
Publication 5839,IRS Digital Assets Initiative Overview,Jul 2023,07/06/2023,https://www.irs.gov/pub/irs-pdf/p5839.pdf
Publication 5843,"Exempt Organizations Technical Guide TG 5: Labor, Agricultural, and Horticultural Organizations   IRC Section 501(c)(5)",Feb 2024,02/05/2024,https://www.irs.gov/pub/irs-pdf/p5843.pdf
Publication 5845,Do you need a new Employer Identification Number?,Jul 2023,07/26/2023,https://www.irs.gov/pub/irs-pdf/p5845.pdf
